Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: Score
Target column Score has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_33.68%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_33.68%_HC.png
Program completed in: 2.952051877975464 seconds
: 3.4175977279008136, Weighted Score: 7.516859526851379
Cluster count: 52, Silhouette Score: 0.15155116104978839, Davies-Bouldin Score: 1.8831707732705427, Weighted Score: 2.259799016876521
Cluster count: 53, Silhouette Score: 0.15276189853621513, Davies-Bouldin Score: 1.8637615031260257, Weighted Score: 2.263375752409042
Cluster count: 54, Silhouette Score: 0.15389957924426698, Davies-Bouldin Score: 1.8381885812966108, Weighted Score: 2.2671044156337534
Cluster count: 55, Silhouette Score: 0.15541336843405396, Davies-Bouldin Score: 1.8249240642145872, Weighted Score: 2.2711039769179444
Cluster count: 56, Silhouette Score: 0.15995000837982923, Davies-Bouldin Score: 1.8159378753313766, Weighted Score: 2.2816472446168796
Cluster count: 57, Silhouette Score: 0.16519582561548196, Davies-Bouldin Score: 1.7988120227010127, Weighted Score: 2.2942341354199853
Cluster count: 58, Silhouette Score: 0.16631812054819778, Davies-Bouldin Score: 1.7930513259817575, Weighted Score: 2.2970414724818555
Cluster count: 59, Silhouette Score: 0.16879626158226552, Davies-Bouldin Score: 1.7883378237133247, Weighted Score: 2.3028529502093273
Cluster count: 60, Silhouette Score: 0.17186848271022503, Davies-Bouldin Score: 1.7782049401990583, Weighted Score: 2.3102952931538763
Cluster count: 61, Silhouette Score: 0.17008617252008376, Davies-Bouldin Score: 1.7618078814667506, Weighted Score: 2.3071094408293935
Cluster count: 62, Silhouette Score: 0.17275927039969718, Davies-Bouldin Score: 1.7618201380569478, Weighted Score: 2.3131462858889438

Best number of clusters: 62
Best Weighted Score: 2.3131462858889438
Final Silhouette Score: 0.17275927039969718
Final Davies-Bouldin Score: 1.7618201380569478
