Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: Address1
Target column Address1 has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_46.52%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_46.52%_HC.png
Program completed in: 2.928870916366577 seconds
 3.362230227440519, Weighted Score: 7.512558364813778
Cluster count: 52, Silhouette Score: 0.1334463288924941, Davies-Bouldin Score: 1.9321421962562586, Weighted Score: 2.217891767485435
Cluster count: 53, Silhouette Score: 0.13564812229092582, Davies-Bouldin Score: 1.9176782277140658, Weighted Score: 2.2233177558607538
Cluster count: 54, Silhouette Score: 0.1391278106193239, Davies-Bouldin Score: 1.911522147072655, Weighted Score: 2.2311862413539405
Cluster count: 55, Silhouette Score: 0.1403523476347016, Davies-Bouldin Score: 1.9024190063465485, Weighted Score: 2.2342713628287583
Cluster count: 56, Silhouette Score: 0.14312264224060528, Davies-Bouldin Score: 1.8927823331175848, Weighted Score: 2.24077880138879
Cluster count: 57, Silhouette Score: 0.14330332411424213, Davies-Bouldin Score: 1.894819144022631, Weighted Score: 2.2410835780700755
Cluster count: 58, Silhouette Score: 0.1432655853979648, Davies-Bouldin Score: 1.8852479849459514, Weighted Score: 2.2414344729612665
Cluster count: 59, Silhouette Score: 0.14135542136882168, Davies-Bouldin Score: 1.8666883741857505, Weighted Score: 2.2380970014696207
Cluster count: 60, Silhouette Score: 0.14651072447003205, Davies-Bouldin Score: 1.864699283498632, Weighted Score: 2.249517454395165
Cluster count: 61, Silhouette Score: 0.1465746823983634, Davies-Bouldin Score: 1.8501407978066235, Weighted Score: 2.2503400301776977
Cluster count: 62, Silhouette Score: 0.14740279227423728, Davies-Bouldin Score: 1.8428658384777008, Weighted Score: 2.252509628231992

Best number of clusters: 62
Best Weighted Score: 2.252509628231992
Final Silhouette Score: 0.14740279227423728
Final Davies-Bouldin Score: 1.8428658384777008
