Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: PhoneNumber
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_clean_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_clean_HC.png
Program completed in: 2.856151819229126 seconds
05226532632, Davies-Bouldin Score: 2.0826505781991353, Weighted Score: 8.012219436376387
Cluster count: 51, Silhouette Score: 0.46129288575226396, Davies-Bouldin Score: 1.1124830354489277, Weighted Score: 3.1166936705874155
Cluster count: 52, Silhouette Score: 0.46134675561707345, Davies-Bouldin Score: 1.1149694684392026, Weighted Score: 3.1166113444196357
Cluster count: 53, Silhouette Score: 0.4609083118807534, Davies-Bouldin Score: 1.1086483984045696, Weighted Score: 3.1159121299438834
Cluster count: 54, Silhouette Score: 0.46478381789673606, Davies-Bouldin Score: 1.1018322482802794, Weighted Score: 3.128303984701747
Cluster count: 55, Silhouette Score: 0.4697764937908189, Davies-Bouldin Score: 1.0937780489016915, Weighted Score: 3.144268812395507
Cluster count: 56, Silhouette Score: 0.47828920569044114, Davies-Bouldin Score: 1.0885802260389927, Weighted Score: 3.170813930865632
Cluster count: 57, Silhouette Score: 0.48210138031471467, Davies-Bouldin Score: 1.0797836866386548, Weighted Score: 3.1834313433258226
Cluster count: 58, Silhouette Score: 0.4829146206618042, Davies-Bouldin Score: 1.0825136118962082, Weighted Score: 3.1856605857273017
Cluster count: 59, Silhouette Score: 0.4835228887972118, Davies-Bouldin Score: 1.0663990278188176, Weighted Score: 3.1891879547993396
Cluster count: 60, Silhouette Score: 0.49500948123101984, Davies-Bouldin Score: 1.0495449659628486, Weighted Score: 3.2265942888133377
Cluster count: 61, Silhouette Score: 0.4885893322864911, Davies-Bouldin Score: 1.0516496987438957, Weighted Score: 3.2063967450367814
Cluster count: 62, Silhouette Score: 0.4851104191042509, Davies-Bouldin Score: 1.0458583887254382, Weighted Score: 3.1962340735392996

Best number of clusters: 60
Best Weighted Score: 3.2265942888133377
Final Silhouette Score: 0.49500948123101984
Final Davies-Bouldin Score: 1.0495449659628486
