Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: Address1
Target column Address1 has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_21.65%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_21.65%_HC.png
Program completed in: 2.133057117462158 seconds
368689071508915, Weighted Score: 7.4795805632647125
Cluster count: 52, Silhouette Score: 0.20059239567297868, Davies-Bouldin Score: 1.694909488524601, Weighted Score: 2.3805437841084394
Cluster count: 53, Silhouette Score: 0.20572817690805043, Davies-Bouldin Score: 1.6837923750615962, Weighted Score: 2.3931333540503625
Cluster count: 54, Silhouette Score: 0.21000801172977152, Davies-Bouldin Score: 1.6629028692182952, Weighted Score: 2.404334413464133
Cluster count: 55, Silhouette Score: 0.20882638252741836, Davies-Bouldin Score: 1.695459245663247, Weighted Score: 2.3997403564508897
Cluster count: 56, Silhouette Score: 0.21217746237750915, Davies-Bouldin Score: 1.6816874255816399, Weighted Score: 2.4083742112024185
Cluster count: 57, Silhouette Score: 0.20252270118779273, Davies-Bouldin Score: 1.7514583311542185, Weighted Score: 2.3820084238816333
Cluster count: 58, Silhouette Score: 0.2031870405009925, Davies-Bouldin Score: 1.7583134273225796, Weighted Score: 2.3832011869948886
Cluster count: 59, Silhouette Score: 0.20748052568078262, Davies-Bouldin Score: 1.7489841292240622, Weighted Score: 2.393717557593042
Cluster count: 60, Silhouette Score: 0.20837066920584882, Davies-Bouldin Score: 1.7354092967258508, Weighted Score: 2.396516020430517
Cluster count: 61, Silhouette Score: 0.20757281214182693, Davies-Bouldin Score: 1.730601108271413, Weighted Score: 2.394901852256753
Cluster count: 62, Silhouette Score: 0.2097886045102694, Davies-Bouldin Score: 1.734039744323411, Weighted Score: 2.399913972440936

Best number of clusters: 54
Best Weighted Score: 2.404334413464133
Final Silhouette Score: 0.21000801172977152
Final Davies-Bouldin Score: 1.6629028692182952
