Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: Condition
Target column Condition has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_49.29%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_49.29%_HC.png
Program completed in: 2.803164005279541 seconds
14467824327, Weighted Score: 7.554520328003591
Cluster count: 52, Silhouette Score: 0.16053464520733823, Davies-Bouldin Score: 1.8103237009900228, Weighted Score: 2.2832278013654093
Cluster count: 53, Silhouette Score: 0.1588790953609333, Davies-Bouldin Score: 1.8215062892099272, Weighted Score: 2.2789863309273186
Cluster count: 54, Silhouette Score: 0.15873167180622624, Davies-Bouldin Score: 1.8223682932156986, Weighted Score: 2.278615715074734
Cluster count: 55, Silhouette Score: 0.1595603713028337, Davies-Bouldin Score: 1.824871531591994, Weighted Score: 2.280343345738069
Cluster count: 56, Silhouette Score: 0.1626718980931687, Davies-Bouldin Score: 1.8205288153278067, Weighted Score: 2.2875095221674275
Cluster count: 57, Silhouette Score: 0.1656186293923794, Davies-Bouldin Score: 1.812793605368069, Weighted Score: 2.2944940193573746
Cluster count: 58, Silhouette Score: 0.16649899047978203, Davies-Bouldin Score: 1.8051314009384805, Weighted Score: 2.296848348055681
Cluster count: 59, Silhouette Score: 0.1698489322379027, Davies-Bouldin Score: 1.7971242545192787, Weighted Score: 2.3047866342256857
Cluster count: 60, Silhouette Score: 0.17109990834620162, Davies-Bouldin Score: 1.7947968445761007, Weighted Score: 2.307725301013437
Cluster count: 61, Silhouette Score: 0.172564462105801, Davies-Bouldin Score: 1.7892833486360027, Weighted Score: 2.3113101036314307
Cluster count: 62, Silhouette Score: 0.1730379496242961, Davies-Bouldin Score: 1.7822865901890048, Weighted Score: 2.312732935558802

Best number of clusters: 45
Best Weighted Score: 2.2554201643655514
Final Silhouette Score: 0.14653806691275834
Final Davies-Bouldin Score: 1.7463022470536862
