Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_38.92%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_38.92%_DBSCAN.png
Program completed in: 11.895586490631104 seconds
ht
Starting DBSCAN clustering at 2024-10-17 23:21:36
Clusters: 35, eps: 0.5000000000000001, min_samples: 15, Silhouette: 0.45547428179736377, DB Score: 1.0475289282402143, Combined Score: 3.1058022619585617
Clusters: 25, eps: 0.5000000000000001, min_samples: 20, Silhouette: 0.32659192659783126, DB Score: 1.164523984766531, Combined Score: 2.7313468265045584
Clusters: 19, eps: 0.5000000000000001, min_samples: 25, Silhouette: 0.24442832265365888, DB Score: 1.176701495867763, Combined Score: 2.5221531696812756
Clusters: 36, eps: 0.5500000000000002, min_samples: 5, Silhouette: 0.5201593666762598, DB Score: 0.7831090273185993, Combined Score: 3.3381626477838817
Clusters: 35, eps: 0.5500000000000002, min_samples: 10, Silhouette: 0.5106740406503854, DB Score: 0.9511055042411738, Combined Score: 3.286742231156924
Clusters: 35, eps: 0.5500000000000002, min_samples: 15, Silhouette: 0.47420289079925626, DB Score: 0.9959759545964659, Combined Score: 3.168095914040432
Clusters: 29, eps: 0.5500000000000002, min_samples: 20, Silhouette: 0.38256058344905336, DB Score: 1.1235995256636464, Combined Score: 2.8870971517861617
Clusters: 19, eps: 0.5500000000000002, min_samples: 25, Silhouette: 0.2722242915587224, DB Score: 1.1865522389809435, Combined Score: 2.589728813210954
Clusters: 36, eps: 0.6000000000000002, min_samples: 5, Silhouette: 0.5201593666762598, DB Score: 0.7831090273185993, Combined Score: 3.3381626477838817
Clusters: 36, eps: 0.6000000000000002, min_samples: 10, Silhouette: 0.5156594444721111, DB Score: 0.8804827731942764, Combined Score: 3.3110703589929718
Clusters: 32, eps: 0.6000000000000002, min_samples: 15, Silhouette: 0.48257794379307606, DB Score: 0.9858616948547588, Combined Score: 3.194934812943636
Clusters: 32, eps: 0.6000000000000002, min_samples: 20, Silhouette: 0.4131078130921696, DB Score: 1.0725899656635314, Combined Score: 2.978729654137964
Clusters: 21, eps: 0.6000000000000002, min_samples: 25, Silhouette: 0.3012012524557351, DB Score: 1.1852516121335752, Combined Score: 2.663295725324827
Clusters: 36, eps: 0.6500000000000001, min_samples: 5, Silhouette: 0.5201593666762598, DB Score: 0.7831090273185993, Combined Score: 3.3381626477838817
Clusters: 34, eps: 0.6500000000000001, min_samples: 10, Silhouette: 0.5141919637393267, DB Score: 0.8906451772014221, Combined Score: 3.305139827835981
Clusters: 33, eps: 0.6500000000000001, min_samples: 15, Silhouette: 0.4893661614040389, DB Score: 0.9583745911437324, Combined Score: 3.219053530267188
Clusters: 27, eps: 0.6500000000000001, min_samples: 20, Silhouette: 0.42758962525441446, DB Score: 1.1095399206812784, Combined Score: 3.0169605488366638
Clusters: 23, eps: 0.6500000000000001, min_samples: 25, Silhouette: 0.33596262815436273, DB Score: 1.1619656802986662, Combined Score: 2.7564201552500482
Clusters: 35, eps: 0.7000000000000002, min_samples: 5, Silhouette: 0.5203587647085294, DB Score: 0.8023801034748798, Combined Score: 3.336184325640863
Clusters: 34, eps: 0.7000000000000002, min_samples: 10, Silhouette: 0.5164694470322625, DB Score: 0.931401973156626, Combined Score: 3.3074781053151954
Clusters: 31, eps: 0.7000000000000002, min_samples: 15, Silhouette: 0.49650397683180064, DB Score: 0.949606372133647, Combined Score: 3.2423018219785553
Clusters: 26, eps: 0.7000000000000002, min_samples: 20, Silhouette: 0.4416625521550843, DB Score: 1.0950618182519165, Combined Score: 3.059758824308992
Clusters: 23, eps: 0.7000000000000002, min_samples: 25, Silhouette: 0.366673174579786, DB Score: 1.1670997560675118, Combined Score: 2.8389766733712283
Clusters: 35, eps: 0.7500000000000002, min_samples: 5, Silhouette: 0.5203587647085294, DB Score: 0.8023801034748799, Combined Score: 3.336184325640863
Clusters: 34, eps: 0.7500000000000002, min_samples: 10, Silhouette: 0.5180282391044659, DB Score: 0.8830274704821646, Combined Score: 3.318311840031918
Clusters: 31, eps: 0.7500000000000002, min_samples: 15, Silhouette: 0.4993819976735266, DB Score: 0.9443209519851556, Combined Score: 3.251927239997284
Clusters: 28, eps: 0.7500000000000002, min_samples: 20, Silhouette: 0.4638373623942854, DB Score: 1.0810532011445841, Combined Score: 3.1275317750963305
Clusters: 25, eps: 0.7500000000000002, min_samples: 25, Silhouette: 0.40196940283630794, DB Score: 1.1328437143393746, Combined Score: 2.940870695034424
Clusters: 33, eps: 0.8000000000000002, min_samples: 5, Silhouette: 0.5204836717971891, DB Score: 0.8425861232821655, Combined Score: 3.331284683249711
Clusters: 33, eps: 0.8000000000000002, min_samples: 10, Silhouette: 0.5181108716389191, DB Score: 0.8910541378418426, Combined Score: 3.317584007806384
Clusters: 30, eps: 0.8000000000000002, min_samples: 15, Silhouette: 0.5047003410924916, DB Score: 0.9500579634115521, Combined Score: 3.26797846809944
Clusters: 29, eps: 0.8000000000000002, min_samples: 20, Silhouette: 0.4754894884062765, DB Score: 1.0667208790715546, Combined Score: 3.164463646588019
Clusters: 25, eps: 0.8000000000000002, min_samples: 25, Silhouette: 0.4254852161868067, DB Score: 1.1293323257147205, Combined Score: 3.0088877573822868
Clusters: 33, eps: 0.8500000000000002, min_samples: 5, Silhouette: 0.5204836717971891, DB Score: 0.8425861232821655, Combined Score: 3.331284683249711
Clusters: 33, eps: 0.8500000000000002, min_samples: 10, Silhouette: 0.520420563960506, DB Score: 0.8183835228270254, Combined Score: 3.3342472122691262
Clusters: 30, eps: 0.8500000000000002, min_samples: 15, Silhouette: 0.5114557909296277, DB Score: 0.9204267755035573, Combined Score: 3.292832596722431
Clusters: 29, eps: 0.8500000000000002, min_samples: 20, Silhouette: 0.48411204864246216, DB Score: 1.0476729176692698, Combined Score: 3.192958724159957
Clusters: 26, eps: 0.8500000000000002, min_samples: 25, Silhouette: 0.4427962876058477, DB Score: 1.0919006494726324, Combined Score: 3.0634336504230455
Clusters: 32, eps: 0.9000000000000002, min_samples: 5, Silhouette: 0.5236383883230926, DB Score: 0.8575310589488606, Combined Score: 3.339486158733105
Clusters: 33, eps: 0.9000000000000002, min_samples: 10, Silhouette: 0.5199576347624635, DB Score: 0.8184365830406635, Combined Score: 3.3327582784988135
Clusters: 30, eps: 0.9000000000000002, min_samples: 15, Silhouette: 0.5118331563716562, DB Score: 0.9185328266281275, Combined Score: 3.294256877245069
Clusters: 30, eps: 0.9000000000000002, min_samples: 20, Silhouette: 0.4902186815944124, DB Score: 1.019974796279977, Combined Score: 3.2148273639465095
Clusters: 26, eps: 0.9000000000000002, min_samples: 25, Silhouette: 0.4480238112282302, DB Score: 1.0843326646731886, Combined Score: 3.079726887032595
Clusters: 32, eps: 0.9500000000000003, min_samples: 5, Silhouette: 0.5236383883230926, DB Score: 0.8575310589488606, Combined Score: 3.339486158733105
Clusters: 32, eps: 0.9500000000000003, min_samples: 10, Silhouette: 0.5236383883230926, DB Score: 0.8575310589488606, Combined Score: 3.339486158733105
Clusters: 31, eps: 0.9500000000000003, min_samples: 15, Silhouette: 0.5142737996685196, DB Score: 0.969117287304953, Combined Score: 3.29610831669575
Clusters: 29, eps: 0.9500000000000003, min_samples: 20, Silhouette: 0.4946528045855618, DB Score: 1.0043761633315662, Combined Score: 3.230333909705562
Clusters: 27, eps: 0.9500000000000003, min_samples: 25, Silhouette: 0.4586647121001651, DB Score: 1.0463225111244623, Combined Score: 3.1155176719498487
Clusters: 32, eps: 1.0000000000000004, min_samples: 5, Silhouette: 0.5236383883230926, DB Score: 0.8575310589488606, Combined Score: 3.339486158733105
Clusters: 32, eps: 1.0000000000000004, min_samples: 10, Silhouette: 0.5236383883230926, DB Score: 0.8575310589488606, Combined Score: 3.339486158733105
Clusters: 31, eps: 1.0000000000000004, min_samples: 15, Silhouette: 0.5168256330135926, DB Score: 0.9557081883172736, Combined Score: 3.30577591689826
Clusters: 29, eps: 1.0000000000000004, min_samples: 20, Silhouette: 0.4965401326448396, DB Score: 0.9998594791254198, Combined Score: 3.236726211772298
Clusters: 27, eps: 1.0000000000000004, min_samples: 25, Silhouette: 0.4651527826219957, DB Score: 1.0327036637402291, Combined Score: 3.136556036183217
