Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: sched_dep_time
Target column sched_dep_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_51.59%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_51.59%_HC.png
Program completed in: 15.114195823669434 seconds
6530674916, Weighted Score: 8.006016787417717
Cluster count: 52, Silhouette Score: 0.691129881073512, Davies-Bouldin Score: 0.7253035170665851, Weighted Score: 3.943178551262228
Cluster count: 53, Silhouette Score: 0.7112544886582634, Davies-Bouldin Score: 0.6988999388465419, Weighted Score: 4.024270858213213
Cluster count: 54, Silhouette Score: 0.7142036001850536, Davies-Bouldin Score: 0.6878514714793686, Weighted Score: 4.037372820518455
Cluster count: 55, Silhouette Score: 0.710351134742776, Davies-Bouldin Score: 0.685487075193877, Weighted Score: 4.022785688139319
Cluster count: 56, Silhouette Score: 0.7101055331739767, Davies-Bouldin Score: 0.6805481485051406, Weighted Score: 4.022583308221761
Cluster count: 57, Silhouette Score: 0.7198907937238656, Davies-Bouldin Score: 0.6450035849614045, Weighted Score: 4.0661412407770055
Cluster count: 58, Silhouette Score: 0.7205321098537283, Davies-Bouldin Score: 0.6433740915178672, Weighted Score: 4.068905473127341
Cluster count: 59, Silhouette Score: 0.7247024281649929, Davies-Bouldin Score: 0.6376820829054665, Weighted Score: 4.086150623513999
Cluster count: 60, Silhouette Score: 0.7276333099181612, Davies-Bouldin Score: 0.6293646414828992, Weighted Score: 4.09900309809274
Cluster count: 61, Silhouette Score: 0.7170616277123116, Davies-Bouldin Score: 0.6295181804587759, Weighted Score: 4.057554730641561
Cluster count: 62, Silhouette Score: 0.7155883564658978, Davies-Bouldin Score: 0.6270790209769572, Weighted Score: 4.052206975622964
Cluster count: 63, Silhouette Score: 0.7101053747551693, Davies-Bouldin Score: 0.6256629524390569, Weighted Score: 4.03115289287305
Cluster count: 64, Silhouette Score: 0.7102035652391, Davies-Bouldin Score: 0.6175939144755626, Weighted Score: 4.032833068482201
Cluster count: 65, Silhouette Score: 0.7086900140985771, Davies-Bouldin Score: 0.6144401435976816, Weighted Score: 4.027489448990086
