Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: act_arr_time
Target column act_arr_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_HC.png
Program completed in: 15.428985357284546 seconds
494879109401218, Weighted Score: 8.011689535275485
Cluster count: 52, Silhouette Score: 0.6700854858677882, Davies-Bouldin Score: 0.7412882702781249, Weighted Score: 3.8617852501840924
Cluster count: 53, Silhouette Score: 0.673228903402122, Davies-Bouldin Score: 0.7195919514983933, Weighted Score: 3.87662887137483
Cluster count: 54, Silhouette Score: 0.6776226754311035, Davies-Bouldin Score: 0.7134550516411134, Weighted Score: 3.89395535902126
Cluster count: 55, Silhouette Score: 0.6813325279126986, Davies-Bouldin Score: 0.7095820281838161, Weighted Score: 3.9084522631211063
Cluster count: 56, Silhouette Score: 0.6872132625286054, Davies-Bouldin Score: 0.6930299685990822, Weighted Score: 3.933096924284741
Cluster count: 57, Silhouette Score: 0.6999298610095601, Davies-Bouldin Score: 0.6692532729633557, Weighted Score: 3.9851216757683083
Cluster count: 58, Silhouette Score: 0.7067059921246018, Davies-Bouldin Score: 0.6639017485366189, Weighted Score: 4.0119968905076195
Cluster count: 59, Silhouette Score: 0.7102647245418975, Davies-Bouldin Score: 0.6603090349432049, Weighted Score: 4.026305216431401
Cluster count: 60, Silhouette Score: 0.7142826309819192, Davies-Bouldin Score: 0.6426015341412737, Weighted Score: 4.04466025974449
Cluster count: 61, Silhouette Score: 0.7233058476951216, Davies-Bouldin Score: 0.6240403553614381, Weighted Score: 4.082847030618773
Cluster count: 62, Silhouette Score: 0.7210586695511451, Davies-Bouldin Score: 0.6116266286109121, Weighted Score: 4.076050962832604
Cluster count: 63, Silhouette Score: 0.7286192745535277, Davies-Bouldin Score: 0.5794922888180908, Weighted Score: 4.111064573393824
Cluster count: 64, Silhouette Score: 0.7307411189749476, Davies-Bouldin Score: 0.5726227285302696, Weighted Score: 4.120598346178952
Cluster count: 65, Silhouette Score: 0.7291505344384819, Davies-Bouldin Score: 0.5713039294379871, Weighted Score: 4.1145416354116415
Cluster count: 66, Silhouette Score: 0.7273239100420068, Davies-Bouldin Score: 0.5724930088250051, Weighted Score: 4.107140633974038
Cluster count: 67, Silhouette Score: 0.7331139537307388, Davies-Bouldin Score: 0.5576285379882991, Weighted Score: 4.132541795575936
Cluster count: 68, Silhouette Score: 0.7390562713784893, Davies-Bouldin Score: 0.5401887276266458, Weighted Score: 4.159169933656941
