Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_45.44%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_45.44%_DBSCAN.png
Program completed in: 11.348022699356079 seconds
rting DBSCAN clustering at 2024-10-18 00:08:38
Clusters: 23, eps: 0.5000000000000001, min_samples: 10, Silhouette: 0.4554026066012436, DB Score: 0.950412490331778, Combined Score: 3.1163206007762776
Clusters: 18, eps: 0.5000000000000001, min_samples: 15, Silhouette: 0.43606263959586994, DB Score: 0.9861255415619393, Combined Score: 3.0547828054865804
Clusters: 16, eps: 0.5000000000000001, min_samples: 20, Silhouette: 0.417459115600134, DB Score: 1.0421006044648013, Combined Score: 2.9944491851090658
Clusters: 15, eps: 0.5000000000000001, min_samples: 25, Silhouette: 0.3741125198361511, DB Score: 1.1973195762883446, Combined Score: 2.8566985464041634
Clusters: 34, eps: 0.5500000000000002, min_samples: 5, Silhouette: 0.5162422915411242, DB Score: 1.0141905460256684, Combined Score: 3.2973622113550465
Clusters: 24, eps: 0.5500000000000002, min_samples: 10, Silhouette: 0.461277802525219, DB Score: 0.9720352491373968, Combined Score: 3.131519336081106
Clusters: 18, eps: 0.5500000000000002, min_samples: 15, Silhouette: 0.4415004826956376, DB Score: 0.9679496817845944, Combined Score: 3.0728818791156476
Clusters: 15, eps: 0.5500000000000002, min_samples: 20, Silhouette: 0.42953714909909324, DB Score: 1.0488982133746223, Combined Score: 3.028832922836819
Clusters: 15, eps: 0.5500000000000002, min_samples: 25, Silhouette: 0.3904201646363338, DB Score: 1.1681149453598119, Combined Score: 2.9048618793172225
Clusters: 34, eps: 0.6000000000000002, min_samples: 5, Silhouette: 0.5178620403281827, DB Score: 1.0004765825614583, Combined Score: 3.3040335303090806
Clusters: 23, eps: 0.6000000000000002, min_samples: 10, Silhouette: 0.4693662895193748, DB Score: 1.004532570546482, Combined Score: 3.152400633255134
Clusters: 19, eps: 0.6000000000000002, min_samples: 15, Silhouette: 0.44152257961372954, DB Score: 0.9176794554471448, Combined Score: 3.078822408869794
Clusters: 15, eps: 0.6000000000000002, min_samples: 20, Silhouette: 0.4332185216805926, DB Score: 1.0366939293878747, Combined Score: 3.040906613265433
Clusters: 16, eps: 0.6000000000000002, min_samples: 25, Silhouette: 0.41758893967750704, DB Score: 1.0410608601730542, Combined Score: 2.994934300476207
Clusters: 33, eps: 0.6500000000000001, min_samples: 5, Silhouette: 0.5185016215306943, DB Score: 1.0117439331428468, Combined Score: 3.304840888865118
Clusters: 28, eps: 0.6500000000000001, min_samples: 10, Silhouette: 0.4876620674458593, DB Score: 1.0508439950138648, Combined Score: 3.203606562544805
Clusters: 18, eps: 0.6500000000000001, min_samples: 15, Silhouette: 0.45314051105784414, DB Score: 0.9157091524202422, Combined Score: 3.1136365528617667
Clusters: 16, eps: 0.6500000000000001, min_samples: 20, Silhouette: 0.4357390468587021, DB Score: 1.0232818355241224, Combined Score: 3.0497489632921364
Clusters: 16, eps: 0.6500000000000001, min_samples: 25, Silhouette: 0.42229429539471475, DB Score: 1.0225667925757003, Combined Score: 3.010537345783802
Clusters: 31, eps: 0.7000000000000002, min_samples: 5, Silhouette: 0.5185282319701483, DB Score: 0.9172283446979629, Combined Score: 3.315738162049822
Clusters: 27, eps: 0.7000000000000002, min_samples: 10, Silhouette: 0.4934982601211566, DB Score: 1.0537389510276676, Combined Score: 3.2214409082310778
