Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: sched_arr_time
Target column sched_arr_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_38.92%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_38.92%_HC.png
Program completed in: 15.658794641494751 seconds
705951459394, Weighted Score: 7.963526151510532
Cluster count: 52, Silhouette Score: 0.6749760011554787, Davies-Bouldin Score: 0.7452734497743075, Weighted Score: 3.8794482684971716
Cluster count: 53, Silhouette Score: 0.6834980298968554, Davies-Bouldin Score: 0.729169761190188, Weighted Score: 3.9137431749044493
Cluster count: 54, Silhouette Score: 0.6874287950109624, Davies-Bouldin Score: 0.7229995314597127, Weighted Score: 3.9294831302484936
Cluster count: 55, Silhouette Score: 0.7072895860919408, Davies-Bouldin Score: 0.7017843727862015, Weighted Score: 4.0085071959929195
Cluster count: 56, Silhouette Score: 0.7133210196032597, Davies-Bouldin Score: 0.6890465281874396, Weighted Score: 4.033764014284905
Cluster count: 57, Silhouette Score: 0.706415151875856, Davies-Bouldin Score: 0.6878042526488853, Weighted Score: 4.007227116342966
Cluster count: 58, Silhouette Score: 0.7149429783503701, Davies-Bouldin Score: 0.6736023182792389, Weighted Score: 4.042411636448597
Cluster count: 59, Silhouette Score: 0.7195489456607291, Davies-Bouldin Score: 0.6698576559039788, Weighted Score: 4.0609415010359236
Cluster count: 60, Silhouette Score: 0.7235820842972425, Davies-Bouldin Score: 0.6554891700437546, Weighted Score: 4.078954419858877
Cluster count: 61, Silhouette Score: 0.739878139982733, Davies-Bouldin Score: 0.6317695812672397, Weighted Score: 4.147149481600807
Cluster count: 62, Silhouette Score: 0.7437007298943169, Davies-Bouldin Score: 0.6209109970258231, Weighted Score: 4.164163148058801
Cluster count: 63, Silhouette Score: 0.7531476919442753, Davies-Bouldin Score: 0.5913345691607338, Weighted Score: 4.206997848458025
Cluster count: 64, Silhouette Score: 0.7584520702454441, Davies-Bouldin Score: 0.5707908733638235, Weighted Score: 4.231936483654035
Cluster count: 65, Silhouette Score: 0.7635051690014443, Davies-Bouldin Score: 0.5647866437206174, Weighted Score: 4.2535371294340685
Cluster count: 66, Silhouette Score: 0.7661819790507836, Davies-Bouldin Score: 0.5518449471514463, Weighted Score: 4.266702644416801
Cluster count: 67, Silhouette Score: 0.7613794954437338, Davies-Bouldin Score: 0.5501944908163093, Weighted Score: 4.24737409383963
Cluster count: 68, Silhouette Score: 0.7641272253500042, Davies-Bouldin Score: 0.5359499650846083, Weighted Score: 4.2610673009092395
Cluster count: 69, Silhouette Score: 0.7637889670765146, Davies-Bouldin Score: 0.5370935029259336, Weighted Score: 4.259484954163585
Cluster count: 70, Silhouette Score: 0.7606478528885096, Davies-Bouldin Score: 0.5376857278969766, Weighted Score: 4.246572488808014
Cluster count: 71, Silhouette Score: 0.7639165143892522, Davies-Bouldin Score: 0.5042122745203995, Weighted Score: 4.265866916090115
Cluster count: 72, Silhouette Score: 0.7705441877692473, Davies-Bouldin Score: 0.4974610738721381, Weighted Score: 4.294256120042981
Cluster count: 73, Silhouette Score: 0.772425541029369, Davies-Bouldin Score: 0.4962568879625809, Weighted Score: 4.3022190165091505
Cluster count: 74, Silhouette Score: 0.7752093805159326, Davies-Bouldin Score: 0.46549004383356574, Weighted Score: 4.3194098787589335
Cluster count: 75, Silhouette Score: 0.7741795922233042, Davies-Bouldin Score: 0.4668737088570107, Weighted Score: 4.314897518871056
Cluster count: 76, Silhouette Score: 0.7745727397775914, Davies-Bouldin Score: 0.4669076895681324, Weighted Score: 4.316513891751183
Cluster count: 77, Silhouette Score: 0.7723546136371334, Davies-Bouldin Score: 0.470789617578584, Weighted Score: 4.306637953199895
Cluster count: 78, Silhouette Score: 0.7706616064612557, Davies-Bouldin Score: 0.47274788873910056, Weighted Score: 4.299303345488071
Cluster count: 79, Silhouette Score: 0.7728385811595259, Davies-Bouldin Score: 0.47351486981053903, Weighted Score: 4.308122147761242
Cluster count: 80, Silhouette Score: 0.77184553153115, Davies-Bouldin Score: 0.4740563955831041, Weighted Score: 4.303930391456686
Cluster count: 81, Silhouette Score: 0.7707508933895275, Davies-Bouldin Score: 0.47351511787320033, Weighted Score: 4.299527131843069
Cluster count: 82, Silhouette Score: 0.7711804264880072, Davies-Bouldin Score: 0.47384085932598347, Weighted Score: 4.301233192837835
Cluster count: 83, Silhouette Score: 0.771429657910344, Davies-Bouldin Score: 0.46910678731036953, Weighted Score: 4.303145106472611
Cluster count: 84, Silhouette Score: 0.7702277664566488, Davies-Bouldin Score: 0.4712387363060856, Weighted Score: 4.297802048383152
Cluster count: 85, Silhouette Score: 0.7726865405535884, Davies-Bouldin Score: 0.470723539346257, Weighted Score: 4.308017862147441
Cluster count: 86, Silhouette Score: 0.7722039090223265, Davies-Bouldin Score: 0.47146807053432127, Weighted Score: 4.30589013780265
Cluster count: 87, Silhouette Score: 0.7717769656875583, Davies-Bouldin Score: 0.47453627502982737, Weighted Score: 4.30355851063635
Cluster count: 88, Silhouette Score: 0.77252710275548, Davies-Bouldin Score: 0.4729271831271993, Weighted Score: 4.306948495441818
Cluster count: 89, Silhouette Score: 0.7714931647436812, Davies-Bouldin Score: 0.47342504464758167, Weighted Score: 4.302597823191769
Cluster count: 90, Silhouette Score: 0.7684586554618159, Davies-Bouldin Score: 0.4755268255870989, Weighted Score: 4.289735182037229
Cluster count: 91, Silhouette Score: 0.7690118362793801, Davies-Bouldin Score: 0.4739918068265196, Weighted Score: 4.2922921096102815
Cluster count: 92, Silhouette Score: 0.769451094339814, Davies-Bouldin Score: 0.47220690358211076, Weighted Score: 4.294429531541522
Cluster count: 93, Silhouette Score: 0.7699855363732431, Davies-Bouldin Score: 0.4718354283593784, Weighted Score: 4.296694765766639
Cluster count: 94, Silhouette Score: 0.7691884892707865, Davies-Bouldin Score: 0.4699070564259946, Weighted Score: 4.29378183172222
Cluster count: 95, Silhouette Score: 0.7679524085197957, Davies-Bouldin Score: 0.4705526872080882, Weighted Score: 4.288588265465374
Cluster count: 96, Silhouette Score: 0.764494456360883, Davies-Bouldin Score: 0.470482097108371, Weighted Score: 4.274444263017826

Best number of clusters: 74
Best Weighted Score: 4.3194098787589335
Final Silhouette Score: 0.7752093805159326
Final Davies-Bouldin Score: 0.46549004383356574
