Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_40.76%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_40.76%_DBSCAN.png
Program completed in: 11.762829780578613 seconds
umn sched_arr_time
Starting DBSCAN clustering at 2024-10-17 23:45:03
Clusters: 29, eps: 0.5000000000000001, min_samples: 10, Silhouette: 0.47979745700677323, DB Score: 0.9869393182774605, Combined Score: 3.186253920819541
Clusters: 27, eps: 0.5000000000000001, min_samples: 15, Silhouette: 0.4334742521990423, DB Score: 1.0393532096922085, Combined Score: 3.0413746168398954
Clusters: 19, eps: 0.5000000000000001, min_samples: 20, Silhouette: 0.35849177638929564, DB Score: 1.1506802398106089, Combined Score: 2.8181514162796013
Clusters: 14, eps: 0.5000000000000001, min_samples: 25, Silhouette: 0.30203447668051353, DB Score: 1.195335139065199, Combined Score: 2.6645193125200355
Clusters: 36, eps: 0.5500000000000002, min_samples: 5, Silhouette: 0.518958930251091, DB Score: 1.014899856076277, Combined Score: 3.305958983902147
Clusters: 28, eps: 0.5500000000000002, min_samples: 10, Silhouette: 0.4872321154228801, DB Score: 0.998753258119895, Combined Score: 3.207883305620238
Clusters: 23, eps: 0.5500000000000002, min_samples: 15, Silhouette: 0.4380751464478035, DB Score: 1.0777477373576712, Combined Score: 3.0509139605115974
Clusters: 22, eps: 0.5500000000000002, min_samples: 20, Silhouette: 0.38367695167598, DB Score: 1.0999650114519233, Combined Score: 2.8925456555329205
Clusters: 15, eps: 0.5500000000000002, min_samples: 25, Silhouette: 0.3297384332441974, DB Score: 1.169110210547084, Combined Score: 2.7392311327730896
Clusters: 36, eps: 0.6000000000000002, min_samples: 5, Silhouette: 0.519435802377062, DB Score: 0.962515069445246, Combined Score: 3.3133317270234275
Clusters: 26, eps: 0.6000000000000002, min_samples: 10, Silhouette: 0.48604780425730804, DB Score: 1.0196985188908068, Combined Score: 3.2019268004708987
Clusters: 23, eps: 0.6000000000000002, min_samples: 15, Silhouette: 0.44433841145990755, DB Score: 1.0980989144990347, Combined Score: 3.0673840477209597
Clusters: 22, eps: 0.6000000000000002, min_samples: 20, Silhouette: 0.405171585457146, DB Score: 1.0908133406050744, Combined Score: 2.954141215576731
Clusters: 18, eps: 0.6000000000000002, min_samples: 25, Silhouette: 0.3579502175812119, DB Score: 1.1727180760488662, Combined Score: 2.814607938698715
Clusters: 36, eps: 0.6500000000000001, min_samples: 5, Silhouette: 0.5198702626964027, DB Score: 1.0125556691707027, Combined Score: 3.3091292352499457
Clusters: 28, eps: 0.6500000000000001, min_samples: 10, Silhouette: 0.4924497755226968, DB Score: 1.0658022818342023, Combined Score: 3.216920531624402
Clusters: 25, eps: 0.6500000000000001, min_samples: 15, Silhouette: 0.46271229752141335, DB Score: 1.0786416107420147, Combined Score: 3.1243752397901305
Clusters: 22, eps: 0.6500000000000001, min_samples: 20, Silhouette: 0.4114739880934579, DB Score: 1.0978088498482248, Combined Score: 2.971478447858981
Clusters: 18, eps: 0.6500000000000001, min_samples: 25, Silhouette: 0.3618142669327051, DB Score: 1.175579857699835, Combined Score: 2.824879905001837
Clusters: 36, eps: 0.7000000000000002, min_samples: 5, Silhouette: 0.5198702626964027, DB Score: 1.0125556691707027, Combined Score: 3.3091292352499457
Clusters: 29, eps: 0.7000000000000002, min_samples: 10, Silhouette: 0.49838440231409775, DB Score: 1.0475779860538148, Combined Score: 3.237353915889306
Clusters: 27, eps: 0.7000000000000002, min_samples: 15, Silhouette: 0.4714961885367389, DB Score: 1.074792192981674, Combined Score: 3.1514337071380782
Clusters: 22, eps: 0.7000000000000002, min_samples: 20, Silhouette: 0.43066473305267217, DB Score: 1.0934619999832678, Combined Score: 3.0275508417951964
