Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_16.97%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_16.97%_DBSCAN.png
Program completed in: 13.42579960823059 seconds
mn act_dep_time
Starting DBSCAN clustering at 2024-10-17 22:09:26
Clusters: 27, eps: 0.5000000000000001, min_samples: 5, Silhouette: 0.5187008348016441, DB Score: 1.0745101110143531, Combined Score: 3.298841781614265
Clusters: 20, eps: 0.5000000000000001, min_samples: 10, Silhouette: 0.47544723264485583, DB Score: 1.1208325269870114, Combined Score: 3.1588962372965996
Clusters: 15, eps: 0.5000000000000001, min_samples: 15, Silhouette: 0.4195125616969932, DB Score: 1.2522966294072968, Combined Score: 2.980327305438463
Clusters: 12, eps: 0.5000000000000001, min_samples: 20, Silhouette: 0.39512208545888444, DB Score: 1.3152629685734083, Combined Score: 2.9053481697616967
Clusters: 10, eps: 0.5000000000000001, min_samples: 25, Silhouette: 0.3616492241236849, DB Score: 1.3619083179656548, Combined Score: 2.808688445666495
Clusters: 27, eps: 0.5500000000000002, min_samples: 5, Silhouette: 0.5193089030255398, DB Score: 1.0727602615117084, Combined Score: 3.3009654139535027
Clusters: 21, eps: 0.5500000000000002, min_samples: 10, Silhouette: 0.4864538206905388, DB Score: 1.1457750822241601, Combined Score: 3.1903652632755493
Clusters: 15, eps: 0.5500000000000002, min_samples: 15, Silhouette: 0.43773091005197073, DB Score: 1.2402012131340565, Combined Score: 3.034588473984941
Clusters: 12, eps: 0.5500000000000002, min_samples: 20, Silhouette: 0.4017369069556596, DB Score: 1.3125609018489848, Combined Score: 2.9243137019766348
Clusters: 11, eps: 0.5500000000000002, min_samples: 25, Silhouette: 0.3846417822007092, DB Score: 1.330582169286772, Combined Score: 2.8746736010162124
Clusters: 25, eps: 0.6000000000000002, min_samples: 5, Silhouette: 0.5217588238913271, DB Score: 1.079306802110741, Combined Score: 3.308141111387933
Clusters: 21, eps: 0.6000000000000002, min_samples: 10, Silhouette: 0.4899826106028291, DB Score: 1.1456238667096494, Combined Score: 3.2013204879998645
Clusters: 17, eps: 0.6000000000000002, min_samples: 15, Silhouette: 0.45641478779539046, DB Score: 1.1891371716052612, Combined Score: 3.0947297337796082
Clusters: 13, eps: 0.6000000000000002, min_samples: 20, Silhouette: 0.40634394835266646, DB Score: 1.2819874683981471, Combined Score: 2.9399509823394867
Clusters: 11, eps: 0.6000000000000002, min_samples: 25, Silhouette: 0.3952365557258147, DB Score: 1.3294593704364137, Combined Score: 2.9045365125680638
Clusters: 25, eps: 0.6500000000000001, min_samples: 5, Silhouette: 0.5247464157756242, DB Score: 1.0982442624362154, Combined Score: 3.315821732181264
Clusters: 22, eps: 0.6500000000000001, min_samples: 10, Silhouette: 0.5000021491690486, DB Score: 1.131691539650137, Combined Score: 3.2339352800037324
Clusters: 16, eps: 0.6500000000000001, min_samples: 15, Silhouette: 0.4633687720994626, DB Score: 1.207501637373202, Combined Score: 3.11402581457762
Clusters: 12, eps: 0.6500000000000001, min_samples: 20, Silhouette: 0.4171226878822018, DB Score: 1.3116469391011127, Combined Score: 2.9684764472364407
Clusters: 11, eps: 0.6500000000000001, min_samples: 25, Silhouette: 0.3983341195391265, DB Score: 1.3243156806831464, Combined Score: 2.9137105532007888
Clusters: 25, eps: 0.7000000000000002, min_samples: 5, Silhouette: 0.5251665840523588, DB Score: 1.087846242013245, Combined Score: 3.3182187984011704
Clusters: 22, eps: 0.7000000000000002, min_samples: 10, Silhouette: 0.5028964661179617, DB Score: 1.1360357910697143, Combined Score: 3.2426090743124467
Clusters: 18, eps: 0.7000000000000002, min_samples: 15, Silhouette: 0.4731008573164563, DB Score: 1.1738633211348333, Combined Score: 3.1466707631371307
Clusters: 13, eps: 0.7000000000000002, min_samples: 20, Silhouette: 0.43152274905848514, DB Score: 1.3001361435980565, Combined Score: 3.011295412177696
Clusters: 11, eps: 0.7000000000000002, min_samples: 25, Silhouette: 0.39975940613064126, DB Score: 1.3205212342401111, Combined Score: 2.918055929021399
Clusters: 26, eps: 0.7500000000000002, min_samples: 5, Silhouette: 0.5274229043377827, DB Score: 1.035557686635387, Combined Score: 3.3309119622612715
Clusters: 22, eps: 0.7500000000000002, min_samples: 10, Silhouette: 0.5044131376553076, DB Score: 1.1369346736174906, Combined Score: 3.2472980240010254
Clusters: 17, eps: 0.7500000000000002, min_samples: 15, Silhouette: 0.4766076324124452, DB Score: 1.1966976629745816, Combined Score: 3.1553050604754227
Clusters: 14, eps: 0.7500000000000002, min_samples: 20, Silhouette: 0.43992906910007523, DB Score: 1.2679922555255516, Combined Score: 3.038696322797594
Clusters: 12, eps: 0.7500000000000002, min_samples: 25, Silhouette: 0.4074050693935095, DB Score: 1.3156308615692571, Combined Score: 2.9402298257095225
Clusters: 27, eps: 0.8000000000000002, min_samples: 5, Silhouette: 0.5288338636531922, DB Score: 1.03346089326, Combined Score: 3.335688236069308
Clusters: 24, eps: 0.8000000000000002, min_samples: 10, Silhouette: 0.5139007118240022, DB Score: 1.1053779461074376, Combined Score: 3.2804216426867807
Clusters: 17, eps: 0.8000000000000002, min_samples: 15, Silhouette: 0.47897518665814, DB Score: 1.201673387057777, Combined Score: 3.162119411997153
Clusters: 13, eps: 0.8000000000000002, min_samples: 20, Silhouette: 0.4437457889598173, DB Score: 1.2973448024444612, Combined Score: 3.0475516240614517
Clusters: 12, eps: 0.8000000000000002, min_samples: 25, Silhouette: 0.4171992766269744, DB Score: 1.317531900904012, Combined Score: 2.9682234345634244
Clusters: 26, eps: 0.8500000000000002, min_samples: 5, Silhouette: 0.5311491861973532, DB Score: 0.9721854853038802, Combined Score: 3.3499175512902233
Clusters: 23, eps: 0.8500000000000002, min_samples: 10, Silhouette: 0.5157255956728326, DB Score: 1.1411292553222, Combined Score: 3.282743776018352
Clusters: 17, eps: 0.8500000000000002, min_samples: 15, Silhouette: 0.479864222712504, DB Score: 1.202383021597477, Combined Score: 3.1647876756521516
Clusters: 15, eps: 0.8500000000000002, min_samples: 20, Silhouette: 0.45553346757130864, DB Score: 1.2473014963522195, Combined Score: 3.086922488405759
Clusters: 13, eps: 0.8500000000000002, min_samples: 25, Silhouette: 0.4302282506505115, DB Score: 1.306484619391652, Combined Score: 3.006988237836063
Clusters: 26, eps: 0.9000000000000002, min_samples: 5, Silhouette: 0.5311491861973532, DB Score: 0.9721854853038804, Combined Score: 3.3499175512902233
Clusters: 23, eps: 0.9000000000000002, min_samples: 10, Silhouette: 0.5166614897596589, DB Score: 1.127728085881322, Combined Score: 3.2870207568373426
Clusters: 18, eps: 0.9000000000000002, min_samples: 15, Silhouette: 0.4872388373565179, DB Score: 1.1754346268619138, Combined Score: 3.190008049061621
Clusters: 15, eps: 0.9000000000000002, min_samples: 20, Silhouette: 0.458791260312542, DB Score: 1.2481906549202781, Combined Score: 3.096637617609984
Clusters: 13, eps: 0.9000000000000002, min_samples: 25, Silhouette: 0.4355106651855363, DB Score: 1.30415643010434, Combined Score: 3.0226735336410706
Clusters: 26, eps: 0.9500000000000003, min_samples: 5, Silhouette: 0.5311491861973532, DB Score: 0.9721854853038804, Combined Score: 3.3499175512902233
Clusters: 23, eps: 0.9500000000000003, min_samples: 10, Silhouette: 0.5182359346619594, DB Score: 1.1184793123143422, Combined Score: 3.2929495233553423
Clusters: 19, eps: 0.9500000000000003, min_samples: 15, Silhouette: 0.49292809460468867, DB Score: 1.1717258631089484, Combined Score: 3.208024281708343
Clusters: 15, eps: 0.9500000000000003, min_samples: 20, Silhouette: 0.4601662055275133, DB Score: 1.2478225410013124, Combined Score: 3.1008114821709376
Clusters: 13, eps: 0.9500000000000003, min_samples: 25, Silhouette: 0.43949720425199174, DB Score: 1.2990146586609617, Combined Score: 3.034842080416015
Clusters: 26, eps: 1.0000000000000004, min_samples: 5, Silhouette: 0.5315339720300482, DB Score: 0.9643466906922146, Combined Score: 3.3520561431005524
Clusters: 23, eps: 1.0000000000000004, min_samples: 10, Silhouette: 0.5195468904067392, DB Score: 1.1077038223352929, Combined Score: 3.2982027286679183
Clusters: 19, eps: 1.0000000000000004, min_samples: 15, Silhouette: 0.49450871147254205, DB Score: 1.1705849347796, Combined Score: 3.213058024003432
Clusters: 15, eps: 1.0000000000000004, min_samples: 20, Silhouette: 0.46311698236074206, DB Score: 1.2430389459567304, Combined Score: 3.1101332861594404
Clusters: 13, eps: 1.0000000000000004, min_samples: 25, Silhouette: 0.44689805476315553, DB Score: 1.2908139305059854, Combined Score: 3.057451786223826
