Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: MeasureName
Target column MeasureName has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_27.96%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_27.96%_HC.png
Program completed in: 2.8472180366516113 seconds
11779555, Weighted Score: 7.608988427344315
Cluster count: 52, Silhouette Score: 0.18858595625765043, Davies-Bouldin Score: 1.8236124940834029, Weighted Score: 2.346137937806995
Cluster count: 53, Silhouette Score: 0.18690755590942257, Davies-Bouldin Score: 1.8200362151337968, Weighted Score: 2.3424582206811744
Cluster count: 54, Silhouette Score: 0.18820381340120582, Davies-Bouldin Score: 1.811483435050131, Weighted Score: 2.345851070819322
Cluster count: 55, Silhouette Score: 0.19462275616743172, Davies-Bouldin Score: 1.8080968599732992, Weighted Score: 2.3608079981535774
Cluster count: 56, Silhouette Score: 0.1975788961702196, Davies-Bouldin Score: 1.7887688547689662, Weighted Score: 2.3686115630903637
Cluster count: 57, Silhouette Score: 0.19963908333630026, Davies-Bouldin Score: 1.7757246321858517, Weighted Score: 2.374051401646836
Cluster count: 58, Silhouette Score: 0.19863368043500765, Davies-Bouldin Score: 1.7591504050395648, Weighted Score: 2.3725659040776454
Cluster count: 59, Silhouette Score: 0.19840551321850047, Davies-Bouldin Score: 1.7418305488459698, Weighted Score: 2.3729388996767433
Cluster count: 60, Silhouette Score: 0.19748859167124588, Davies-Bouldin Score: 1.733822751409153, Weighted Score: 2.371234847308889
Cluster count: 61, Silhouette Score: 0.19731303265035716, Davies-Bouldin Score: 1.7232563224358213, Weighted Score: 2.371390695806925
Cluster count: 62, Silhouette Score: 0.19896912866934977, Davies-Bouldin Score: 1.731593277834866, Weighted Score: 2.3747879025074523

Best number of clusters: 57
Best Weighted Score: 2.374051401646836
Final Silhouette Score: 0.19963908333630026
Final Davies-Bouldin Score: 1.7757246321858517
