Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_8.69%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_8.69%_DBSCAN.png
Program completed in: 14.607945919036865 seconds
tarting DBSCAN clustering at 2024-10-18 01:41:51
Clusters: 9, eps: 0.5500000000000002, min_samples: 10, Silhouette: 0.5553685691206326, DB Score: 1.3209014978660543, Combined Score: 3.3958508140168324
Clusters: 7, eps: 0.5500000000000002, min_samples: 15, Silhouette: 0.5280097258484686, DB Score: 1.372250704133633, Combined Score: 3.302356872442138
Clusters: 6, eps: 0.5500000000000002, min_samples: 20, Silhouette: 0.5080852438217295, DB Score: 1.4544393945143699, Combined Score: 3.232709424827579
Clusters: 8, eps: 0.5500000000000002, min_samples: 25, Silhouette: 0.4812531794675982, DB Score: 1.3652331762121706, Combined Score: 3.155514337081314
Clusters: 16, eps: 0.6000000000000002, min_samples: 5, Silhouette: 0.5839273269511915, DB Score: 1.1788990951134641, Combined Score: 3.504127373054724
Clusters: 10, eps: 0.6000000000000002, min_samples: 10, Silhouette: 0.558060972559887, DB Score: 1.323785304493866, Combined Score: 3.4045596978650456
Clusters: 7, eps: 0.6000000000000002, min_samples: 15, Silhouette: 0.5388340552663659, DB Score: 1.3730687644503983, Combined Score: 3.337406858244863
Clusters: 6, eps: 0.6000000000000002, min_samples: 20, Silhouette: 0.5232952370919185, DB Score: 1.4531242102361746, Combined Score: 3.281273204145988
Clusters: 6, eps: 0.6000000000000002, min_samples: 25, Silhouette: 0.5198699786563399, DB Score: 1.4537397433117631, Combined Score: 3.2702499309567754
Clusters: 16, eps: 0.6500000000000001, min_samples: 5, Silhouette: 0.587795938038511, DB Score: 1.1672225053206244, Combined Score: 3.5184359194418975
Clusters: 11, eps: 0.6500000000000001, min_samples: 10, Silhouette: 0.5616916817787428, DB Score: 1.293428503381171, Combined Score: 3.419113518360131
