Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: sched_dep_time
Target column sched_dep_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_67.74%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_67.74%_HC.png
Program completed in: 14.75822925567627 seconds
5618652302, Weighted Score: 8.538373198203116
Cluster count: 52, Silhouette Score: 0.7420430790633515, Davies-Bouldin Score: 0.5975636075274677, Weighted Score: 4.161341927328065
Cluster count: 53, Silhouette Score: 0.7440238680382172, Davies-Bouldin Score: 0.5932333516215704, Weighted Score: 4.16998183017071
Cluster count: 54, Silhouette Score: 0.7494673160267913, Davies-Bouldin Score: 0.5751844558020625, Weighted Score: 4.194857000638958
Cluster count: 55, Silhouette Score: 0.7503448798660728, Davies-Bouldin Score: 0.5679776040168942, Weighted Score: 4.19961245912798
Cluster count: 56, Silhouette Score: 0.7472215688603742, Davies-Bouldin Score: 0.5662190080895686, Weighted Score: 4.187345589991957
Cluster count: 57, Silhouette Score: 0.7476547920951637, Davies-Bouldin Score: 0.5686086183561304, Weighted Score: 4.188679778804394
Cluster count: 58, Silhouette Score: 0.7481266330649977, Davies-Bouldin Score: 0.5521767623929739, Weighted Score: 4.19339118774324
Cluster count: 59, Silhouette Score: 0.7540049432309779, Davies-Bouldin Score: 0.5343218005650209, Weighted Score: 4.220207009406568
Cluster count: 60, Silhouette Score: 0.7500543724899374, Davies-Bouldin Score: 0.5314682149626483, Weighted Score: 4.204763325159565
Cluster count: 61, Silhouette Score: 0.7523923153879447, Davies-Bouldin Score: 0.5297612330871797, Weighted Score: 4.214493844434926
Cluster count: 62, Silhouette Score: 0.750557553364878, Davies-Bouldin Score: 0.5313734605892944, Weighted Score: 4.206807577758248
Cluster count: 63, Silhouette Score: 0.7509824644171215, Davies-Bouldin Score: 0.5267137315789758, Weighted Score: 4.209344142215939
Cluster count: 64, Silhouette Score: 0.7439941144314601, Davies-Bouldin Score: 0.5247138604757464, Weighted Score: 4.1816187354645695
Cluster count: 65, Silhouette Score: 0.7503225963684409, Davies-Bouldin Score: 0.5243427905175087, Weighted Score: 4.207104852962436
