Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: EmergencyService
Target column EmergencyService has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_8.53%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_8.53%_HC.png
Program completed in: 2.196017265319824 seconds
1, Weighted Score: 7.844807521178458
Cluster count: 52, Silhouette Score: 0.3956865287472734, Davies-Bouldin Score: 1.2248035570206606, Weighted Score: 2.914566578630774
Cluster count: 53, Silhouette Score: 0.3975627339245443, Davies-Bouldin Score: 1.209288876870915, Weighted Score: 2.9212527031167346
Cluster count: 54, Silhouette Score: 0.38879277932962425, Davies-Bouldin Score: 1.2330247772883653, Weighted Score: 2.894427255255452
Cluster count: 55, Silhouette Score: 0.3887929895156689, Davies-Bouldin Score: 1.2270354199968891, Weighted Score: 2.8949530236306664
Cluster count: 56, Silhouette Score: 0.4056785193345827, Davies-Bouldin Score: 1.2118881706162732, Weighted Score: 2.944095531330373
Cluster count: 57, Silhouette Score: 0.40248024266144655, Davies-Bouldin Score: 1.2235299898655627, Weighted Score: 2.9339461844802845
Cluster count: 58, Silhouette Score: 0.4052021048340776, Davies-Bouldin Score: 1.2098920766204746, Weighted Score: 2.9429141948023454

Best number of clusters: 56
Best Weighted Score: 2.944095531330373
Final Silhouette Score: 0.4056785193345827
Final Davies-Bouldin Score: 1.2118881706162732
